question,answer
"Sethu Institute of Technology (Autonomous), Pulloor, Kariapatti, Virudhunagar-626115.","tier:3, district:Virudhunagar, college_type:AUTONOMOUS"
"Velammal Institute of Technology, Chennai - Kolkatta Highway, Pancheeti Village, Ponneri Taluk, Thiruvallur District-601204.","tier:2, district:Chennai, college_type:SF"
"University College of Engineering Ariyalur Kathankudikadu Village Thelur Post Ariyalur District 621704","tier:3, district:Kanchipuram, college_type:SF"
"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur, Manachanallur Taluk, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:SF"
"Ponjesly College of Engineering, Near Parvathipuram, Alamparai, Veturnimadam Post, Nagercoil-629003.","tier:3, district:Chengalpattu, college_type:SF"
"Mount Zion College of Engineering and Technology, Lena vilakku, Pilivalam Post, Pudukkottai-622507.","tier:3, district:Pudukkottai, college_type:SF"
"SSM Institute of Engineering and Technology, Kuttathupatti Village, Begambur Post, Dindigul Taluk & District-624002.","tier:4, district:Dindigul, college_type:SF"
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.","tier:2, district:Chengalpattu, college_type:AUTONOMOUS"
"Arunachala College of Engineering for Women, Thanka Gardens, Manavilai, Vellichanthai, Nagercoil, Kanyakumari District-629203.","tier:3, district:Kanyakumari, college_type:SF"
"R V S Technical Campus Coimbatore, Kumaran Kottam Campus, Kannampalayam, Sulur, Coimbatore-641402.","tier:2, district:Coimbatore, college_type:SF"
"CARE College of Engineering (Autonomous), No.27, Thayanoor village, Kuttapatti, Tiruchirappalli-620009.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Meenakshi College of Engineering, 12,Vembuli Amman Koil Street, West K K Nagar, Chennai-600078.","tier:2, district:Chennai, college_type:SF"
"Mangayarkarasi College of Engineering, 7-1-139, 1st Street, Mangayarkarasi Nagar, Paravai, Madurai-625402.","tier:4, district:Madurai, college_type:SF"
"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Nandha Engineering College (Autonomous), 28, Chennimalaipalayam Road, Pitchandampalayam Post, Erode-638052.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Nadar Saraswathi College of Engineering and Technology, Vadapudupatti, Annanji Post, Theni -625531.","tier:4, district:Theni, college_type:SF"
"Chettinad College of Engineering and Technology, NH-67, Karur to Trichy Highways, Puliyur CF, Karur-639114.","tier:2, district:Trichy, college_type:SF"
"Paavai College of Engineering, Paavai Nagar, NH-7,Pachal, Namakkal-637018.","tier:2, district:Namakkal, college_type:SF"
"University College of Engineering Ramanathapuram Pullangudi Ramanathapuram District 623513","tier:4, district:Chengalpattu, college_type:SF"
"M A M College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:SF"
"MRK Institute of Technology, Nattarmangalam Post, Kattumannarkoil, Cuddalore-608301.","tier:3, district:Cuddalore, college_type:SF"
"Arunai Engineering College, Chittor-Cuddalore Raod, Mathur, Tiruvannamalai-606603.","tier:2, district:Cuddalore, college_type:SF"
"JCT College of Engineering and Technology (Autonomous), Pichanur, Coimbatore South Taluk, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"J.J. College of Engineering and Technology, Ammapettai, Poolankulathupatti Post, Tiruchirappalli-620009.","tier:3, district:Kanchipuram, college_type:SF"
"E.G.S. Pillay Engineering College (Autonomous), Old Nagore Road, Nagore Post, Nagapattinam District-611002.","tier:3, district:Nagapattinam, college_type:AUTONOMOUS"
"M.A.M. School of Engineering (Autonomous), Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:AUTONOMOUS"
"PERI Institute of Technology (Autonomous), Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Arasu Engineering College, Chennai Main Road, Thiruvisanallur - Village, Thiruvidaimaruthur - Taluk, Kumbakonam,Thanjavur-612501.","tier:3, district:Chennai, college_type:SF"
"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur-621212.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Tagore Engineering College, Rathinamangalam, Vandalur, Kanchipuram, Chennai-600127.","tier:2, district:Chennai, college_type:SF"
"Kathir College of Engineering (Autonomous), WISDOM TREE, Avinashi Road, Neelambur, Coimbatore-641062.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.","tier:2, district:Chennai, college_type:SF"
"N.P.R College of Engineering and Technology (Autonomous), Punnappatti Village, Uluppakudi, Natham, Dindigul District-624401.","tier:4, district:Dindigul, college_type:AUTONOMOUS"
"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"Dhaanish Ahmed College of Engineering, Dhaanish Nagar, Vanchuvancherry, Padappai(Near Tambaram), Sriperumbudur Taluk, Kancheepuram District-601301.","tier:2, district:Chennai, college_type:SF"
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319.","tier:2, district:Chennai, college_type:SF"
"Sree Sakthi Engineering College (Autonomous), 899/1 & 898/2, Bettathapuram, Bilichi Village, Karamadai, Coimbatore-641104.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"University College of Engineering Thirukkuvalai Nagappattinam District 610204","tier:3, district:Kanchipuram, college_type:SF"
"S. Veerasamy Chettiar College of Engineering and Technology, S.V.Nagar, Puliangudi (Post), Sivagiri (Taluk), Tirunelveli District-627855.","tier:3, district:Tirunelveli, college_type:SF"
"Krishnasamy College of Engineering and Technology, Nellikuppam Main Road, S.Kumarapuram, Cuddalore-607109.","tier:3, district:Cuddalore, college_type:SF"
"Madha Engineering College, Madha Nagar,Somangalam Road, Kundrathur, Kanchipuram, Chennai-600069.","tier:2, district:Chennai, college_type:SF"
"Nandha College of Technology, 235, Chennimalaipalayam Road, Pitchandampalayam Post, Veppampalayam Village, Erode-638052.","tier:2, district:Erode, college_type:SF"
"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakal Village, Mathur Post, Sriperumbhudur, Kanchipuram-602105.","tier:2, district:Kanchipuram, college_type:SF"
"Annapoorana Engineering College (Autonomous), Sankari Main Road (NH-47), Periyaseeragapadi, Salem-636308.","tier:2, district:Salem, college_type:AUTONOMOUS"
"Dhanalakshmi College of Engineering, Manimangalam Puducheri Road, Manimangalam, Manimangalam Post, Sriperumbudur Taluk, Kancheepuram District, Chennai-601301.","tier:2, district:Chennai, college_type:SF"
"Erode Sengunthar Engineering College (Autonomous), Thudupathi, Perundurai (Tk), Erode District-638057.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.","tier:2, district:Coimbatore, college_type:SF"
"Karpaga Vinayaga College of Engineering and Technology, G.S.T. Road, Chinna Kolambakkam, Palayanoor Post, Madurantagam Taluk, Kancheepuram Dist-603308.","tier:2, district:Chennai, college_type:SF"
"Renganayagi Varatharaj College of Engineering, Salvarpatti Village & Post, Thayilpatti Via, Sivakasi Taluk, Virudhunagar-626128.","tier:3, district:Virudhunagar, college_type:SF"
"Jansons Institute of Technology (Autonomous), SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty, Coimbatore-641659.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram West, Vadugapalayam Post,Tiruchengodu Taluk, Namakkal District-637503.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"M.I.E.T. Engineering College (Autonomous), Trichy - Pudukkottai Road, Gundur, Tiruchirappalli-620007.","tier:3, district:Trichy, college_type:AUTONOMOUS"
"St. Joseph College of Engineering, Trinity Campus, Nemili B Beemanthangal Village, Sriperumbudur, Kancheepuram District, Chennai-602105.","tier:2, district:Chennai, college_type:SF"
"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumathampatti Post, Coimbatore-641659.","tier:2, district:Coimbatore, college_type:SF"
"Rrase College of Engineering, Vanjuvancherry, Padappai, Sriperumbadur, Kancheepuram -601301.","tier:2, district:Chennai, college_type:SF"
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660.","tier:2, district:Unknown, college_type:SF"
"Kings College of Engineering (Autonomous), Punalkulam Village, Gandarvakkottai Taluk, Pudukkottai District-613303.","tier:3, district:Pudukkottai, college_type:AUTONOMOUS"
"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram West, Vadugapalayam Post, Tiruchengodu Taluk, Namakkal District-637503.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"SACS M.A.V.M.M. Engineering College, 446, Melur - Alagarkoil Road, Kidaripatti (PO), Alagarkoil Via, Melur Taluk, Madurai-625301.","tier:4, district:Madurai, college_type:SF"
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot Taluk, Vellore District-632506.","tier:2, district:Vellore, college_type:SF"
"Grace College of Engineering , Chandy Nagar, Mullakkadu, Thoothukudi -628005.","tier:3, district:Chengalpattu, college_type:SF"
"Holy Cross Engineering College, 7/131, Vagaikulam Srivaikuntam Express Road, Sri Mulakarai, Thannoothu Village, Srivaikuntam Taluk, Thoothukudi-628851.","tier:3, district:Chengalpattu, college_type:SF"
"PPG Institute of Technology, Rathnagiri Road, Saravanampatti, Coimbatore-641035.","tier:2, district:Coimbatore, college_type:SF"
"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani, Thiruvallur-631209.","tier:2, district:Chennai, college_type:SF"
"Kings Engineering College, Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.","tier:2, district:Kanchipuram, college_type:SF"
"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, NH - 45, Perambalur-621113.","tier:3, district:Kanchipuram, college_type:SF"
"United Institute of Technology (Autonomous), G.Koundampalayam, Periyanaickenpalayam, Coimbatore-641020.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Muthayammal Engineering College (Autonomous), Kakkaveri, Rasipuram (Tk), Namakkal District-637408.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"DMI College of Engineering (Autonomous), St.Joseph's Town,Mevalurkuppam B Village, Nazarethpet Post, Palanchur, Kanchipuram, Chennai-600123.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"AVS Engineering College, Military Road, Ammapet, Salem-636003.","tier:2, district:Salem, college_type:SF"
"V V College of Engineering, V.V. Nagar, Arasur Village, Idaichivilai Post, Sathankulam Taluk, Tuticorin District, Tirunelveli-628656.","tier:3, district:Tirunelveli, college_type:SF"
"Suguna College of Engineering, Nehru Nagar (West), Kalapatti Road, Civil Aerodrome (Post), Coimbatore-641014.","tier:2, district:Coimbatore, college_type:SF"
"Theni Kammavar Sangam College of Technology, Theni Main road, Koduvilarpatti (PO), Veerapandi(Via), Theni District-625534.","tier:4, district:Theni, college_type:SF"
"Rajiv Gandhi College of Engineering, Nemili Village, Sriperumbudur, Kanchipuram-602105.","tier:2, district:Kanchipuram, college_type:SF"
"SCAD College of Engineering and Technology, Scad Nagar, Cheranmahadevi, Tirunelveli-627414.","tier:3, district:Tirunelveli, college_type:SF"
"Gnanamani College of Technology (Autonomous), NH-7, A.K. Samuthiram, Pachal Post, Namakkal District-637018.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"Sree Sastha Institute of Engineering and Technology, Chennai-Bangalore Highway, Chembarambakkam, Thiruvallur District, Chennai-600123.","tier:2, district:Chennai, college_type:SF"
"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampalli, Vellore District-635854.","tier:2, district:Vellore, college_type:SF"
"Excel Engineering College (Autonomous), NH-47 Salem Main Road, Sankari West Post, Tiruchengode Taluk, Pallakapalayam, Namakkal District-637303.","tier:2, district:Salem, college_type:AUTONOMOUS"
"Apollo Engineering College, Mevaloorkuppam Valarpuram Post, Sriperumbudur Taluk, Kanchipuram District-602105.","tier:2, district:Kanchipuram, college_type:SF"
"Solamalai College of Engineering , S.V Raja Nagar, Veerapanjan, Madurai-625020.","tier:4, district:Madurai, college_type:SF"
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.","tier:2, district:Salem, college_type:SF"
"New Prince Shri Bhavani College of Engineering and Technology (Autonomous), Vengaivasal Main Road, Gowrivakkam, Chennai-600073.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"S.K.P. Engineering College, Chinnkangiyanur, Somasipadi Post, Tiruvannamalai District-606611.","tier:2, district:Chennai, college_type:SF"
"Jayaraj Annapackiam CSI College of Engineering, Margoschis Nagar, Nazareth, Thoothukudi District-628617.","tier:3, district:Chengalpattu, college_type:SF"
"Studyworld College of Engineering, Alagu Nachiamman Koil Road, Palathurai Post, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:SF"
"Einstein College of Engineering, Sir.C.V.Raman Nagar, Seethaparpanallur, Tirunelveli-627012.","tier:3, district:Tirunelveli, college_type:SF"
"Sri Shanmugha College of Engineering and Technology (Autonomous), Pullipalayam, Morur(PO), Sankari Taluk, Salem District-637304.","tier:2, district:Salem, college_type:AUTONOMOUS"
"St. Joseph's College of Engineering and Technology, A.S.Nagar, Ellupatti, Rawasapatti Post, Inathukanpatti Village, Thanjavur-613403.","tier:3, district:Thanjavur, college_type:SF"
"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107.","tier:2, district:Chennai, college_type:SF"
"Roever Engineering College, Elambalur (Post), Perambalur-621212.","tier:3, district:Kanchipuram, college_type:SF"
"Adhi College of Engineering and Technology, No. 6, Munu Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605.","tier:2, district:Thiruvallur, college_type:SF"
"R P Sarathy Institute of Technology , Poosaripatty(PO), Omalur Taluk, Salem-636305.","tier:2, district:Salem, college_type:SF"
"Anand Institute of Higher Technology, Kalasalingam Nagar, Old Mahabalipuram Road, Kazhipattur Village, Chengalpattu Taluk, Kancheepuram District-603103.","tier:2, district:Chengalpattu, college_type:SF"
"Shree Venkateshwara Hi-Tech Engineering College (Autonomous), Erode-Sathy Main Road,Sri Kalaivani Nagar, Othakuthirai,K, Mettupalayam (Po), Gobichettipalayam (Tk), Erode (Dt)-638455.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104.","tier:2, district:Kanchipuram, college_type:SF"
"Stella Mary's College of Engineering, Arunthenkanvilai, Azhikal, Kanyakumari-629202.","tier:3, district:Kanyakumari, college_type:SF"
"Bharathiyar Institute of Engineering for Women, 43/3, Deviyakurichi, Attur Taluk,Salem District-636112.","tier:2, district:Salem, college_type:SF"
"Pavendar Bharathidasan College of Engineering and Technology, Thanjai Natarajan Nagar, Opp. to Bharathidasan University, Pudukkottai Main Raod, Mathur, Kulathur, Pudukkottai-622515.","tier:3, district:Pudukkottai, college_type:SF"
"St. Peter's College of Engineering and Technology, College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.","tier:2, district:Chennai, college_type:SF"
"Ganadipathy Tulsi's Jain Engineering College, Chittoor-Cuddalore Road, Kaniyambadi, Vellore-632102.","tier:2, district:Vellore, college_type:SF"
"Arunachala Hitech Engineering College (formerly Lourdes Mount College of Engineering and Technology), Marthandam-Karungal Road, Chundavilai Mullanganavilai, Nattalam Post, Nattalam, Kanyakumari -629195.","tier:3, district:Kanyakumari, college_type:SF"
"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.","tier:2, district:Chennai, college_type:SF"
"Mahendra College of Engineering, 12th KM Attur Main Road, Minnampalli, Salem-636106.","tier:2, district:Salem, college_type:SF"
"Park College of Engineering and Technology, Avinashi Road (NH-47), Kaniyur,Coimbatore-641659.","tier:2, district:Coimbatore, college_type:SF"
"Park College of Technology, Prema Ravi Nagar, Karumathampatty, Coimbatore-641659.","tier:2, district:Coimbatore, college_type:SF"
"PET Engineering College, Thiruchendur Road, Vallioor, Tirunelveli -627117.","tier:3, district:Tirunelveli, college_type:SF"
"P.S.R.R College of Engineering, Appayanaickenpatti, Sevalpatti, Sivakasi, Virudhunagar -626140.","tier:3, district:Virudhunagar, college_type:SF"
"Mar Ephraem College of Engineering and Technology, Malankara Hills, Elavuvillai, Kanyakumari-629171.","tier:3, district:Kanyakumari, college_type:SF"
"Sri Ranganathar Institute of Engineering and Technology, S.F No:162, Athipalayam village, Thudiyalur-kovilpalayam Road, Coimbatore-641110.","tier:2, district:Coimbatore, college_type:SF"
"The Kavery Engineering College, M. Kalipatti, Mecheri (Post), Mettur Taluk, Salem District-636453.","tier:2, district:Salem, college_type:SF"
"Pandian Saraswathi Yadav Engineering College, Arasanoor Village, Thirumansolai Post, Sivaganagi District-630561.","tier:4, district:Chengalpattu, college_type:SF"
"T.J.S. Engineering College, Peruvoyal, Near Kavaraipettai,Gummidipoondi Taluk,Thiruvallur District-601206.","tier:2, district:Thiruvallur, college_type:SF"
"Gojan School of Business and Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.","tier:2, district:Chennai, college_type:SF"
"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal Village, Namandi Post,(Near Kanchipuram),Tiruvanamalai-604410.","tier:2, district:Kanchipuram, college_type:SF"
"P.B. College of Engineering, Chennai-Bangalore High Way, Irungkattukottai, Sriperumbudur Taluk, Kancheepuram District, Chennai -602117.","tier:2, district:Chennai, college_type:SF"
"Salem College of Engineering and Technology, NH-68 Salem-Attur Main Road, Mettupatty Perumapalayam, Salem-636111.","tier:2, district:Salem, college_type:SF"
"Christian College of Engineering and Technology, Near Check Post, Oddanchatram, Dindigul-624619.","tier:4, district:Dindigul, college_type:SF"
"Surya Group of Institutions, NH-45, GST Road, Vikiravandi, Villupuram-605652.","tier:2, district:Chennai, college_type:SF"
"Easa College of Engineering and Technology, NH-47, Palakkad main Road, Navakkarai Post, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:SF"
"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.","tier:3, district:Pudukkottai, college_type:SF"
"Dhirajlal Gandhi College of Technology, Sikkanampatty, Opposite to Airport,Omalur Taluk, Salem District-636309.","tier:2, district:Salem, college_type:SF"
"Loyola Institute of Technology and Science, P.Bo. No.2, Thovalai - Rajavoor Road, Loyola Nagar, Theroor Village, Thovalai, Kanyakumari District-629302.","tier:3, district:Kanyakumari, college_type:SF"
"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751.","tier:2, district:Vellore, college_type:SF"
"J.P. College of Engineering, College Road, Ayikudy, Tenkasi Taluk, Tirunelveli District-627852.","tier:3, district:Tirunelveli, college_type:SF"
"Surya Engineering College, Perundurai Road,Manalmedu, Mettukadai,Kathirampatti Post, Erode-638107.","tier:2, district:Erode, college_type:SF"
"Info Institute of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.","tier:2, district:Coimbatore, college_type:SF"
"M.P.Nachimuthu M.Jaganathan Engineering College, Chennimalai, Erode-638112.","tier:2, district:Erode, college_type:SF"
"PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152","tier:3, district:Tirunelveli, college_type:AUTONOMOUS"
"CSI College of Engineering, Ketti Valley, The Nilgiris-643215.","tier:2, district:Unknown, college_type:SF"
"Dhaanish Ahmed Institute of Technology, Pitchanur Village, Coimbatore-641018.","tier:2, district:Coimbatore, college_type:SF"
"Global Institute of Engineering and Technology, 257/1, Bangalore-Chennai Highway,Melvisharam, Vellore-632509.","tier:2, district:Chennai, college_type:SF"
"Sengunthar Engineering College (Autonomous), Kosavampalayam, Kumaramangalam (Post),Tiruchengode (Taluk),Namakkal District-637205.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"Trichy Engineering College, somu Nagr,Konalai, Tiruchirappalli-621132.","tier:3, district:Trichy, college_type:SF"
"Idhaya Engineering College for Women, Nainarpalayam Road,Chinna Salem, Villupuram District.-606201.","tier:2, district:Salem, college_type:SF"
"Mother Terasa College of Engineering and Technology, Mettusalai, Illuppur (Post & Taluk), Pudukkottai District-622102.","tier:3, district:Pudukkottai, college_type:SF"
"R.V.S. College of Engineering, RVS Nagar, Karur Road, N.Paraipatti Post, Dindigul-624005.","tier:4, district:Dindigul, college_type:SF"
"Indra Ganesan College of Engineering, Madurai Main Road, Manikandam, Tiruchirappalli-620012.","tier:3, district:Madurai, college_type:SF"
"Sri Ramanujar Engineering College, Vandalur, Kolapakkam, Kanchipuram, Chennai-600127.","tier:2, district:Chennai, college_type:SF"
"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District-636352.","tier:2, district:Dharmapuri, college_type:SF"
"Saraswathy College of Engineering and Technology, NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.","tier:2, district:Chennai, college_type:SF"
"Sri Muthukumaran Institute of Technology, Chikkarayapuram Near Mangadu, Kanchipuram, Chennai-600069.","tier:2, district:Chennai, college_type:SF"
"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.","tier:2, district:Chennai, college_type:SF"
"DMI Engineering College, Kumarapuram Road, Aralvaimozhi, Kanyakumari District-629301.","tier:3, district:Kanyakumari, college_type:SF"
"Sasurie College of Engineering, Vijayamangalam, Tirupur District-638056.","tier:2, district:Unknown, college_type:SF"
"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhupalayam, Ariyalur Taluk & District-621704.","tier:3, district:Kanchipuram, college_type:SF"
"Sir Issac Newton College of Engineering and Technology, Andhanapeetai Post, Pappakoil, Nagapattinam-611102.","tier:3, district:Nagapattinam, college_type:SF"
"Sri Balaji Chockalingam Engineering College, Irumbedu, Arni Taluk,Tiruvannamalai District-632317.","tier:2, district:Chennai, college_type:SF"
"C M S College of Engineering and Technology, Appachigoundapathy, Kumittipathy Post, Coimbatore-641032.","tier:2, district:Coimbatore, college_type:SF"
"Alpha College of Engineering, No.34, Udayavar Kovil Street, Thirumazhisai, Chennai-600124.","tier:2, district:Chennai, college_type:SF"
"Asan Memorial College of Engineering and Technology, Asan Nagar, 9th kilometer, Chengalpattu - Mahabalipuram Highway, Post Box No.6, Chengalpattu-603001.","tier:2, district:Chennai, college_type:SF"
"N.S.N. College of Engineering and Technology, N.S.N, Kalvi Nagar, Karur - Madurai NH-7, Manalmedu, Karur-639003.","tier:2, district:Madurai, college_type:SF"
"Bharath Niketan Engineering College, Shri Gowri Nagar, Thimmarasanaickanoor, Aundipatti, Theni District-625536.","tier:4, district:Theni, college_type:SF"
"G K M College of Engineering and Technology, G K M Nagar, Alappakkam-Mappedu Road, New Perugalathur, Chennai-600063.","tier:2, district:Chennai, college_type:SF"
