question,answer
"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.","tier:2, district:Chennai, college_type:SF"
"OASYS Institute of Technology, Tiruchirappalli-Thuraiyur Mani Road, Pulivalam P.O Musiri Taluk, Tiruchirappalli-621006.","tier:3, district:Kanchipuram, college_type:SF"
"Vaigai College of Engineering, Therkutheru, Melur Taluk, Madurai-625122.","tier:4, district:Madurai, college_type:SF"
"Parisutham Institute of Technology and Science (Autonomous), NH 67 Ring Road, Nanjikottai, Thanjavur-613006.","tier:3, district:Thanjavur, college_type:AUTONOMOUS"
"AL-Ameen Engineering College (Autonomous), Karundevanpalayam, Nanjai Uthukkuli Post, Erode District-638104.","tier:2, district:Erode, college_type:AUTONOMOUS"
"St. Mother Theresa Engineering College, Vagaikulam, Mudivaithanendal Post, Tuticorin District-628102.","tier:3, district:Chengalpattu, college_type:SF"
"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.","tier:3, district:Madurai, college_type:SF"
"Sri Bharathi Engineering College for Women, Aranthangi Road, Kaikurichi, Alangudi Taluk, Pudukkottai-622303.","tier:3, district:Pudukkottai, college_type:SF"
"Christ The King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Karamadai, Coimbatore-641104.","tier:2, district:Coimbatore, college_type:SF"
"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.","tier:3, district:Pudukkottai, college_type:SF"
"PGP College of Engineering and Technology, Namakkal-Paramathi NH 7 Road, Namakkal-637207.","tier:2, district:Namakkal, college_type:SF"
"Arjun College of Technology, 310/1B, Chettiyakkapalayam, Kinathukadavu, Coimbatore-642120.","tier:2, district:Coimbatore, college_type:SF"
"Bethlahem Institute of Engineering, Nadutheri, Karungal, Kanyakumari-629157.","tier:3, district:Kanyakumari, college_type:SF"
"Maha Barathi Engineering College, A. Vasudevanur (post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.","tier:2, district:Salem, college_type:SF"
"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.","tier:3, district:Kanchipuram, college_type:SF"
"J.K.K.Nataraja College of Engineering and Technology, Sf No. 147/1,2,4 Komarapalayam Amani, Thattankuttai Panchayat, Tiruchengode, Namakkal-638183.","tier:2, district:Namakkal, college_type:SF"
"R V S Educational Trust's Group of Institutions, RVS Nagar, N.Paraipatti Post, Dindigul-624005.","tier:4, district:Dindigul, college_type:SF"
"Dr G.U. Pope College of Engineering, Pope Nagar, Sawyerpuram, Thoothukudi-628251.","tier:3, district:Chengalpattu, college_type:SF"
"Arifa Institute of Technology, Esanoor, Keelaiyur Post, Tirukkuvalai Taluk, Nagapattinam District-611103.","tier:3, district:Nagapattinam, college_type:SF"
"Shivani Engineering College, Poolangulathupatti (Post), Srirangam (Taluk), Tiruchirappalli-620009.","tier:3, district:Kanchipuram, college_type:SF"
"Pollachi Institute of Engineering and Technology, 107/1, Poosaripatti Village, Pollachi to Dharapuram road, Poosaripatti(post) Pollachi, Coimbatore-642205.","tier:2, district:Coimbatore, college_type:SF"
"Varuvan Vadivelan Institute of Technology, NH 7, Krishnagiri Main Road, Gundalapatty, Dharmapuri-636703.","tier:2, district:Krishnagiri, college_type:SF"
"Asian College of Engineering and Technology, 294/2,Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore-641110.","tier:2, district:Coimbatore, college_type:SF"
"Good Shepherd College of Engineering and Technology, Maruthamparai, Kaliyal Village, Kaliyal, Kanyakumari-629151.","tier:3, district:Kanyakumari, college_type:SF"
"Thirumalai Engineering College, Kilambi, Krishnapuram Post, Kanchipuram-631551.","tier:2, district:Kanchipuram, college_type:SF"
"Cape Institute of Technology, Rajakrishnapuram Post, Radhapuram Taluk, Levengipuram, Tirunelvei-627114.","tier:3, district:Chengalpattu, college_type:SF"
"Jaya College of Engineering and Technology, Poonamallee By Pass Road, Parivakkam, Chennai, Thiruvallur-600056.","tier:2, district:Chennai, college_type:SF"
"Unnamalai Institute of Technology, Suba Nagar, Ayyaneri Post, Kovilpatti, Thoothukudi District-628502.","tier:3, district:Chengalpattu, college_type:SF"
"Narayanaguru College of Engineering, Chittadavu, Manjalumoodu, Vilavancode Taluk, Kuzhithurai, Kanyakumari District-629151.","tier:3, district:Kanyakumari, college_type:SF"
"P.T.R. College of Engineering and Technology, Thanapandiyan Nagar, Madurai - Tirumangalam Road, Madurai-625008.","tier:4, district:Madurai, college_type:SF"
"Tagore Institute of Engineering and Technology, Salem-Chennai Bye Pass Road, Deviyakurichi (Po), Attur (Tk), Salem (Dt)-636112.","tier:2, district:Chennai, college_type:SF"
"Selvam College of Technology (Autonomous), Salem Road NH-7, Pappinaickenpatti (Post), Ponnusamy Nagar, Namakkal (Tk & Dt)-637003.","tier:2, district:Salem, college_type:AUTONOMOUS"
"Imayam College of Engineering, Kannanur Post, Thuraiyur Taluk, Tiruchirappalli-621206.","tier:3, district:Kanchipuram, college_type:SF"
"Annai Vailankanni College of Engineering, AVK Nagar, Pothaiyadisalai Pottalkulam, Azhagappapuram PO, Kanyakumari District, Nagercoil-629401.","tier:3, district:Kanyakumari, college_type:SF"
"Vidyaa Vikas College of Engineering and Technology, Varahoorampatti Village, Tiruchengode Taluk, Namakkal-637214.","tier:2, district:Namakkal, college_type:SF"
"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.","tier:2, district:Thiruvallur, college_type:SF"
"Universal College of Engineering and Technology, Anbagam Campus, Kadambankulam, Villakku, Radhapuram Road, Vallioor, Tirunelveli-627117.","tier:3, district:Tirunelveli, college_type:SF"
"Thangavelu Engineering College, Rajiv Gandhi Salai, Karapakkam, Chennai-600097.","tier:2, district:Chennai, college_type:SF"
"Latha Mathavan Engineering College, Latha Mathavan Nagar, Kidaripatti, Melur Taluk, Madurai-625301.","tier:4, district:Madurai, college_type:SF"
"Sri Raajaraajan College of Engineering and Technology, No.146/4B1, Amaravathi Village, Amaravathypudhur(Post), Karaikudi Taluk, Sivagangai District-630301.","tier:4, district:Sivagangai, college_type:SF"
"Thamirabharani Engineering College, Ward - 1, Thatchanallur, Chattiram Puthukullam Village, Vepakullam - Chidhabra Nagar Road, Tirunelveli-627358.","tier:3, district:Tirunelveli, college_type:SF"
"E.S.College of Engineering and Technology, Chennai Trunk Road, Ayyankoilpattu, Villupuram-605602.","tier:2, district:Chennai, college_type:SF"
"Sri Vidya College of Engineering and Technology, Sivakasi Main Road, P.Kumaralingapuram, Virudhunagar-626005.","tier:3, district:Virudhunagar, college_type:SF"
"Maria College of Engineering and Technology, Attoor Puliyamoodu Junction, Thiruvattar P.O, Attoor, Kanyakumari-629177.","tier:3, district:Kanyakumari, college_type:SF"
"Jaya Sakthi Engineering College, St.Mary's Nagar, Thiruninravur,(Near Avadi), Thiruvallur, Chennai-602024.","tier:2, district:Chennai, college_type:SF"
"Fatima Michael College of Engineering and Technology, Senkottai Village, Kalimangalam Panchayat,Sivaganga Main Road, Madurai-625020.","tier:4, district:Madurai, college_type:SF"
"Ultra College of Engineering and Technology , 69/1, Ultra Nagar, Kodikulam I Bit, Madurai - Chennai Highway, Madurai-625104.","tier:4, district:Chennai, college_type:SF"
"Vins Christian College of Engineering, Vins Nagar, Chunkankadai, Nagercoil, Kanyakumari-629807.","tier:3, district:Kanyakumari, college_type:SF"
"Thiruvalluvar College of Engineering and Technology, Arunachala City,Ponnur Hills, Vandavasi, Thiruvannamalai District-604505.","tier:2, district:Chennai, college_type:SF"
"Sree Sowdambika College of Engineering, Chettikurichi, Aruppukottai, Virudhunagar-626134.","tier:3, district:Virudhunagar, college_type:SF"
"Madha Institute of Engineering and Technology, Irandaam Kattalai, Sadhananthapuram, Thandalam post, Chennai-600122.","tier:2, district:Chennai, college_type:SF"
"Sardar Raja College of Engineering, Raja Nagar, Alangulam, Tirunelveli Distict-627808.","tier:3, district:Tirunelveli, college_type:SF"
"Annai Mathammal Sheela Engineering College, Erumapatty Post, Namakkal-637013.","tier:2, district:Namakkal, college_type:SF"
"St. Michael College of Engineering and Technology, St. Santhiagaper Nagar, Kalayarkoil, Sivaganga District-630551.","tier:4, district:Chengalpattu, college_type:SF"
"SBM College of Engineering and Technology, SBM Nagar, Thamaraipadi(PO), Trichy Road, Dindigul-624005.","tier:4, district:Trichy, college_type:SF"
"Mahendra Engineering College for Women, Komaramanagalam Post,Tiruchengode Taluk,Namakkal District-637205.","tier:2, district:Namakkal, college_type:SF"
"SSM College of Engineering, NH-47 Salem Main Road, Komarapalayam, Namakkal District-638183.","tier:2, district:Salem, college_type:SF"
"Annamalaiar College Of Engineering, Chetpet-Polur Road, Polur Taluk, Thiruvannamalai District-606902.","tier:2, district:Chennai, college_type:SF"
"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001.","tier:3, district:Kanchipuram, college_type:SF"
"R.M.Engineering College, Zamin Endathur Village, Madurantakam, Kanchipuram-603311.","tier:2, district:Kanchipuram, college_type:SF"
"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.","tier:2, district:Chennai, college_type:SF"
"Annai College of Engineering and Technology, Anakudi Road, Kovilacheri, Kumbakonam, Thanjavur District-612503.","tier:3, district:Thanjavur, college_type:SF"
"Mookambigai College of Engineering, Srinivasa Nagar, Kalamavur (PO), Keeranur, Pudukkottai-622502.","tier:3, district:Pudukkottai, college_type:SF"
"CMS College of Engineering, CMS Nagar, Eranapuram Post, Namakkal-637003.","tier:2, district:Namakkal, college_type:SF"
"Shreenivasa Engineering College, B.Pallipatti, Bommidi, Pappireddipatti Taluk, Dharmapuri District-635301.","tier:2, district:Dharmapuri, college_type:SF"
"Infant Jesus College of Engineering, Kamarajar Nagar, Tirunelveli-Thoothukudi Highway (NH-7A), Keelavallanadu Village, Ellanayakkan Patti Post, Srivaikundam Taluk, Thoothukudi District-628851.","tier:3, district:Tirunelveli, college_type:SF"
"V S A Group of Institutions, NH-47 Main Road, Uthamasolapuram Post, Salem-636010.","tier:2, district:Salem, college_type:SF"
"Indira Institute of Engineering and Technology, No.1, V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur -631203.","tier:2, district:Thiruvallur, college_type:SF"
"KSK College of Engineering and Technology, Thanjavur Main Road, Ammapet (Village), Dharasuram Post, Kumbakonam Taluk, Thanjavur District-612702.","tier:3, district:Thanjavur, college_type:SF"
"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204.","tier:2, district:Chennai, college_type:SF"
"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.","tier:3, district:Pudukkottai, college_type:SF"
"PSN Institute of Technology and Science, Melathediyoor, Palayamkottai Taluk, Tirunelveli-627152.","tier:3, district:Tirunelveli, college_type:SF"
"PSN Engineering College, Melathediyoor, Palayamkottai, Tirunelveli-627152.","tier:3, district:Tirunelveli, college_type:SF"
"Podhigai College of Engineering and Technology, Salem Main Road, Adiyur Post, Tirupattur Taluk,Tirupattur, Vellore District.-635601.","tier:2, district:Salem, college_type:SF"
"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.","tier:3, district:Cuddalore, college_type:SF"
"Vetri Vinayaha College of Engineering and Technology, Tholurpatti, Thottiam, Tiruchirappalli-621215.","tier:3, district:Kanchipuram, college_type:SF"
"Shree Sathyam College of Engineering and Technology, Manjakkal Patti, Kuppanur Post, Sankari Taluk, Salem District-637301.","tier:2, district:Salem, college_type:SF"
"Satyam College of Engineering and Technology, Satyam Nagar, Kannappannalur, Aralvoimozhi, Kanyakumari District-629301.","tier:3, district:Kanyakumari, college_type:SF"
"SRG Engineering College, SH-95,Mohanur Road, Aniyapuram, Namakkal-637017.","tier:2, district:Namakkal, college_type:SF"
"Jei Mathaajee College of Engineering, No.124, Vishakandikuppam Village, Siruvakkam Post, Kanchipuram-631552.","tier:2, district:Kanchipuram, college_type:SF"
"T.J. Institute of Technology, Rajiv Gandhi Salai, Karapakkam, Chennai-600097.","tier:2, district:Chennai, college_type:SF"
"Udaya School of Engineering, Udaya Nagar, Vellamadi Junction,Ammandivilai Post, Kanyakumarai District, Nagercoil-629204.","tier:3, district:Chengalpattu, college_type:SF"
"C.S.I. Institute of Technology, Thovalai & PO, Kanyakumari District, Nagercoil-629302.","tier:3, district:Kanyakumari, college_type:SF"
"Sivaji College of Engineering and Technology, Manivilai Post, Kanyakumari -629171.","tier:3, district:Kanyakumari, college_type:SF"
"Dr.Navalar Nedunchezhiyan College of Engineering, Raja Nagar, Vaithiyanathapuram, Tholudur, Cuddalore-606303.","tier:3, district:Cuddalore, college_type:SF"
"Karaikudi Institute of Technology & Karaikudi Institute of Management, Keeranipatti Village, Thalakkavur Panchayat, Karaikudi, Sivaganga-630307.","tier:4, district:Chengalpattu, college_type:SF"
"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk, Tirunelveli-627151.","tier:3, district:Tirunelveli, college_type:SF"
"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem-636111.","tier:2, district:Salem, college_type:SF"
"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.","tier:2, district:Thiruvallur, college_type:SF"
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.","tier:2, district:Chennai, college_type:SF"
"Ariyalur TFC center","(TFC num:39) Government Polytechnic College Keelapalur, Ariyalur- 621707,,and,,(TFC num:53) University College of Engineering Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur - 621 731"
"Chengalpattu TFC center","(TFC num:7) Government Polytechnic College Bharathamadha Street Bharathipuram Chromepet Chennai 600044,,and,,(TFC num:54) University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600044"
"Chennai TFC center","(TFC num:1) Central Polytechnic College, CIT Campus Tharamani, Chennai  600 113. (Integerated Workshop),,and,,(TFC num:2) Central Polytechnic College, CIT Campus Tharamani, Chennai  600 113. (Integerated Workshop),,and,,(TFC num:3) Institute of Chemical Technology, CIT Campus, Tharamani Chennai-600 113,,and,,(TFC num:4) Central Polytechnic College, CIT Campus Tharamani, Chennai  600 113. (Auditorium),,and,,(TFC num:5)Government Polytechnic College, R.K.Nagar,Chennai-600081(TFC num:6) Government Polytechnic College, Purasawalkam Chennai,,and,,(TFC num:55) Institute of Textile Technology Chennai,,and,,(TFC num:56) Institute of Printing Technology Chennai,,and,,(TFC num:57) State Institute of Commerce Education, CIT Campus Chennai,,and,,(TFC num:58) Anna University, CEG Campus, Guindy Chennai,,and,,(TFC num:102) Dr. Dharmambal Government Polytechnic College For Women"
"Coimbatore TFC center","(TFC num:22) Government College of Technology Coimbatore,,and,,(TFC num:23) Government Polytechnic College For Women Coimbatore,,and,,(TFC num:24) Coimbatore Institute of Technology Coimbatore,,and,,(TFC num:60) Government Polytechnic College, Coimbatore Coimbatore,,and,,(TFC num:61) PSG College of TechnologyCoimbatore,,and,,(TFC num:62) Anna University Regional Campus Coimbatore"
"Cuddalore TFC center","(TFC num:16)Thiru Kolanjiappar Government Arts College, Viruthachlam -606001,,and,,(TFC num:17)Faculty of Engineering and Technology, Annamalai University, Annamalainagar, Chidambaram-608001, Cuddalore District,,and,,(TFC num:63)Government Polytechnic College, Kooduveli, Kattumannarkoil-Tk Pin 608305,,and,,(TFC num:64)University College of Engineering Panruti ,Chennai	Kumbakonam	Highway, Pannikkankuppam, Pincode - 607 106"
"Dharmapuri TFC center","(TFC num:28)Government	College	of	Engineering, Chettikarai, Dharmapuri,636704,,and,,(TFC num:65)Government	Polytechnic	College, Dharmapuri  635 205.,,and,,(TFC num:66)Government Polytechnic College, Kadathur - 635303,,and,,(TFC num:67)Government Polytechnic College Palacode - 636808."
"Dindigul TFC center","(TFC num:34)G.T.N Arts College (Autonomous ), Old Karur Road, Dindigul-624005.,,and,,(TFC num:68)University College of Engineering Dindigul & Maangaraipirivu, Reddiyarchattram, Dindigul 624 622,,and,,(TFC num:69)Arulmigu Palaniandavar Polytechnic College, Dindigul road, Palani-624601"
"Erode TFC center","(TFC num:20)Gobi Arts & Science College, Karattadipalayam Post, Gobichettipalayam- 638453,,and,,(TFC num:21)Government	Polytechnic	College,Karumandicellipalayam,	Sanitorium	(Po), Perundurai, Erode (Dt) 638 053,,and,,(TFC num:70)Government College of Engineering(IRTT), Erode-638316,,and,,(TFC num:71)Sakthi	Polytechnic	College,	Sakthinagar, Appakoodal, Anthiyur Tk, Erode Dt. - 638315"
"Kallakurichi TFC center","(TFC num:15)Government	Polytechnic	College Kattuvannanjur Village Sankarapuram Taluk Kallakurichi District Pin: 606401"
"Kancheepuram TFC center","(TFC num:8)Bhaktavatsalam	Polytechnic	College Karapettai Kanchipuram-631552,,and,,(TFC num:72)University	College	of	Engineering Kancheepuram NH-4 Chennai - BangaloreHighways Ponnerikkarai Karaipettai - 631 552"
"Kanniyakumari TFC center","(TFC num:51)S.T.Hindu College, Nagercoil-2,,and,,(TFC num:83)Government Polytechnic College, Konam, Nagercoil-629004,,and,,(TFC num:110)University College of Engineering Nagercoil, Konam, Nagercoil. 629004"
"Karur TFC center","(TFC num:30)Government	Arts	College	(Autonomous), Thanthonimalai, Karur, 639005,,and,,(TFC num:73)Government	Polytechnic	College, Kaniyalampatti ,Karur-621301"
"Krishnagiri TFC center","(TFC num:29) Government College of Engineering Bargur - 635104,,and,,(TFC num:74) Government Polytechnic College,Krishnagiri- 635001,,and,,(TFC num:75) Government Polytechnic College, Uthangarai -635 207.,,and,,(TFC num:76) Government Polytechnic College, Kelamangalam, (Opp. To Model School, Bodichipalli), Denkanikottai Tk, Krishnagiri Dt 635 113."
"Madurai TFC center","(TFC num:31) Tamilnadu Government Polytechnic College, Madurai-625011,,and,,(TFC num:32) Thiagarajar College of Engineering, Thirupparankundram, Madurai, 625015,,and,,(TFC num:77) Government Polytechnic College For Women, Madurai -625011,,and,,(TFC num:78) Government Polytechnic College Melur- 625109,,and,,(TFC num:79) Government Polytechnic College , Usilampatti-625537,,and,,(TFC num:80) Government Polytechnic College, Chekkanurani, Madurai,,and,,(TFC num:81) Anna University Regional Campus Madurai, Keelakuildi, Madurai - 625019"
"Mayiladuthurai TFC center","(TFC num:52) Srinivasa Subbaraya Polytechnic College, Puthur, Sirkali, Mayiladuthurai District- 609108"
"Nagapattinam TFC center","(TFC num:36)Valivalam Desikar Polytechnic College, Collectorate (Po), Nagapattinam, 611001,,and,,(TFC num:82) University College of Engineering, Thirukkuvalai, Nagappattinam - 610 204"
"Namakkal TFC center","(TFC num:27) Namakkal Kavignar Government Arts College For Women, Namakkal 637001,,and,,(TFC num:84) Government Polytechnic College, Mohanur, Namakkal - 637015"
"Perambalur TFC center","(TFC num:40) Government Polytechnic College,Perambalur-621 104"
"Pudukottai TFC center","(TFC num:43) Govt Polytechnic College , Aranthangi 614616,,and,,(TFC num:86) Government Polytechnic College, Gandharvakottai, Pudupatti Village - 613 301."
"Ramanathapuram TFC center","(TFC num:33) Government Arts College, Paramakudi - 623 701.,,and,,(TFC num:87) University College of Engineering Ramanathapuram, Pullangudi, Ramanathapuram 623 513"
"Ranipet TFC center","(TFC num:11) Arignar Anna Government Arts College for Women, Walajapet, Ranipet Dt -632513"
"Salem TFC center","(TFC num:19) Government College of Engineering, Salem, 636011,,and,,(TFC num:88)Government Polytechnic College, Vanavasi, Salem-636457,,and,,(TFC num:89)Thiagarajar	Polytechnic College,Junction Main Road, Salem - 636005"
"Sivagangai TFC center","(TFC num:45) Alagappa Chettiar Government College of Engineering And Technology, Karaikudi 630003,,and,,(TFC num:90) Government Polytechnic College, Karaikudi - 630003.,,and,,(TFC num:91)Annamalai Polytechnic College,Chettinad - 630102"
"Tenkasi TFC center","(TFC num:47)Government	Arts	And	Science	College, Kadayanallur,,and,,(TFC num:59) Kamarajar	Government	Arts	College, Surandai, Tenkasi - 627 859"
"Thanjavur TFC center","(TFC num:37)Government	Polytechnic	College, Papanasam 61420,,and,,(TFC num:38)Govt.	College of Engineering	Sengipatti, Thanjavur - 613 402,,and,,(TFC num:92)University	College	of	Engineering Pattukkottai, ECR Road, Rajamadam.614701"
"Nilgiris TFC center","(TFC num:26)Government Arts College, Udhagamandalam- 643002. The Nilgiris.,,and,,(TFC num:85) Government	Polytechnic	College, Udhagamandalam , Finger Post, Ooty, The Nilgiris643006"
"Theni TFC center","(TFC num:35) Government	College	of	Engineering, Bodinayakkanur-Theni District 625 582,and,,(TFC num:93) Government Polytechnic College, Theni - 625534,and,,(TFC num:94) Government Polytechnic College,Aundipatti- 625517"
"Thiruvallur TFC center","(TFC num:9) Murugappa	Polytechnic	College,Sathyamurthy	Nagar,	Avadi,	Chennai	- 600062,,and,,(TFC num:10)Loganatha	Narayanasamy	Government College (A), Ponneri,,and,,(TFC num:96)Government Polytechnic College, Sevapettai, Thiruvallur. 602025,,and,,(TFC num:97)AMK Technological Polytechnic College, Chennai-Banglore	High	Road, Sembarambakkam-600123"
"Thiruvarur TFC center","(TFC num:44)Government Polytechnic College, Thozhuvur Colony, Valangaiman. Thiruvarur District. Pin- 612804,,and,,(TFC num:99)Government Polytechnic College, Korukkai - 614711"
"Thoothukudi TFC center","(TFC num:50) Government	Polytechnic	College, Palayamkottai Road, Thoothukudi -628008,,and,,(TFC num:103)Bharathiyar Centenary Memorial Womens Polytechnic College, Ettayapuram  628902.,,and,,(TFC num:104)University	VOC	College	of	Engineering, Thoothukudi"
"Tiruchirappalli TFC center","(TFC num:41) Government	Polytechnic	College, Thuvakudimalai, Trichy,,and,,(TFC num:42) Government	College	of	Engineering Srirangam, Trichy - 620012,,and,,(TFC num:100) Government Polytechnic College Srirangam Trichy 620012,,and,,(TFC num:101) University	College	of	Engineering	(BIT-Campus Anna University Tiruchirappalli - 620 024)"
"Tirunelveli TFC center","(TFC num:48) Government	College	of	Engineering, Tirunelveli - 627007,,and,,(TFC num:49) Rani Anna Government College For Women, Gandhinagar, Tirunelveli -627008,,and,,(TFC num:95) Anna University Regional Campus- Tirunelveli, Trivandrum Road, Palayamkottai, Tirunelveli-627007"
"Tirupathur TFC center","(TFC num:13)Government Polytechnic College, Jolarpet, Thirupathur - 635651"
"Tiruppur TFC center","(TFC num:25)Chikkanna Government Arts College Tirupur 641602"
"Tiruvannamalai TFC center","(TFC num:14) Government Polytechnic College, Cheyyar- 604 407,,and,,(TFC num:98)University College of Engineering Arni, Arni To Devikapuram Road, Thatchur Village, Arni Taluk, Tiruvannamalai - 632326"
"Vellore TFC center","(TFC num:12) Thanthai Periyar Govt Institute of Technology Vellore-632002,,and,,(TFC num:105) Thanthai	Periyar	E.V.RamasamyGovernment	Polytechnic	College, Sivaramapuram, Vellore -632002"
"Viluppuram TFC center","(TFC num:18)Govt Polytechnic College No 27 Kandachipuram Main Road Arakandanallur Post Tirukoilur Taluk,,and,,(TFC num:106)University College of Engineering Tindivanam & Melpakkam Post, Tindivanam, VillupuramDt. - 604307,,and,,(TFC num:107)University College of Engineering Villupuram, Kakuppam, Villupuram-605103"
"Virudhunagar TFC center","(TFC num:46) V.V.Vanniaperumal	College	For	Women, Madurai Road, Virudhunagar,,and,,(TFC num:108)P.A.C. Ramasamy Raja Polytechnic College, Rajapalayam 626108,,and,,(TFC num:109)Ayyanadar Janakiammal Polytechnic College, Chinnakkamanpatti (PO), Sivakasi East - 626189"
